id,name,rgb,is_trans,is_for_sale,known_colors,map_colors,manual_selection
230,Trans-Pink,E4ADC8,t,t,f,,
232,Sky Blue,7DBFDD,f,f,f,,
236,Trans-Light Purple,96709F,t,f,f,,
272,Dark Blue,0A3463,f,t,t,t,
288,Dark Green,184632,f,f,f,,
294,Glow In Dark Trans,BDC6AD,t,f,f,,
297,Pearl Gold,AA7F2E,f,t,t,,
308,Dark Brown,352100,f,t,t,,
313,Maersk Blue,3592C3,f,f,f,,
320,Dark Red,720E0F,f,t,t,,
321,Dark Azure,078BC9,f,t,t,,
322,Medium Azure,36AEBF,f,t,t,t,
323,Light Aqua,ADC3C0,f,t,t,,
326,Olive Green,9B9A5A,f,t,t,,
334,Chrome Gold,BBA53D,f,f,f,,
335,Sand Red,D67572,f,f,f,,
351,Medium Dark Pink,F785B1,f,f,f,,
366,Earth Orange,FA9C1C,f,f,f,,
373,Sand Purple,845E84,f,f,f,,
378,Sand Green,A0BCAC,f,t,f,,
379,Sand Blue,6074A1,f,t,t,,
383,Chrome Silver,E0E0E0,f,f,f,,
450,Fabuland Brown,B67B50,f,f,f,,
462,Medium Orange,FFA70B,f,f,f,,
484,Dark Orange,A95500,f,t,t,,
503,Very Light Gray,E6E3DA,f,f,f,,
1000,Glow in Dark White,D9D9D9,f,t,t,,
1001,Medium Violet,9391E4,f,f,f,,
1002,Glitter Trans-Neon Green,C0F500,t,f,f,,
1003,Glitter Trans-Light Blue,68BCC5,t,t,t,,
1004,Trans-Flame Yellowish Orange,FCB76D,t,f,f,,
1005,Trans-Fire Yellow,FBE890,t,f,f,,
1006,Trans-Light Royal Blue,B4D4F7,t,f,f,,
1007,Reddish Lilac,8E5597,f,f,f,,
1008,Vintage Blue,039CBD,f,f,f,,
1009,Vintage Green,1E601E,f,f,f,,
1010,Vintage Red,CA1F08,f,f,f,,
1011,Vintage Yellow,F3C305,f,f,f,,
1012,Fabuland Orange,EF9121,f,f,f,,
1013,Modulex White,F4F4F4,f,f,f,,
1014,Modulex Light Bluish Gray,AfB5C7,f,f,f,,
1015,Modulex Light Gray,9C9C9C,f,f,f,,
1016,Modulex Charcoal Gray,595D60,f,f,f,,
1017,Modulex Tile Gray,6B5A5A,f,f,f,,
1018,Modulex Black,4D4C52,f,f,f,,
1019,Modulex Tile Brown,330000,f,f,f,,
1020,Modulex Terracotta,5C5030,f,f,f,,
1021,Modulex Brown,907450,f,f,f,,
1022,Modulex Buff,DEC69C,f,f,f,,
1023,Modulex Red,B52C20,f,f,f,,
1024,Modulex Pink Red,F45C40,f,f,f,,
1025,Modulex Orange,F47B30,f,f,f,,
1026,Modulex Light Orange,F7AD63,f,f,f,,
1027,Modulex Light Yellow,FFE371,f,f,f,,
1028,Modulex Ochre Yellow,FED557,f,f,f,,
1029,Modulex Lemon,BDC618,f,f,f,,
1030,Modulex Pastel Green,7DB538,f,f,f,,
1031,Modulex Olive Green,7C9051,f,f,f,,
1032,Modulex Aqua Green,27867E,f,f,f,,
1033,Modulex Teal Blue,467083,f,f,f,,
1034,Modulex Tile Blue,0057A6,f,f,f,,
1035,Modulex Medium Blue,61AFFF,f,f,f,,
1036,Modulex Pastel Blue,68AECE,f,f,f,,
1037,Modulex Violet,BD7D85,f,f,f,,
1038,Modulex Pink,F785B1,f,f,f,,
1039,Modulex Clear,FFFFFF,f,f,f,,
1040,Modulex Foil Dark Gray,595D60,f,f,f,,
1041,Modulex Foil Light Gray,9C9C9C,f,f,f,,
1042,Modulex Foil Dark Green,006400,f,f,f,,
1043,Modulex Foil Light Green,7DB538,f,f,f,,
1044,Modulex Foil Dark Blue,0057A6,f,f,f,,
1045,Modulex Foil Light Blue,68AECE,f,f,f,,
1046,Modulex Foil Violet,4B0082,f,f,f,,
1047,Modulex Foil Red,8B0000,f,f,f,,
1048,Modulex Foil Yellow,FED557,f,f,f,,
1049,Modulex Foil Orange,F7AD63,f,f,f,,
1050,Coral,FF698F,f,t,t,t,
1051,Pastel Blue,5AC4DA,f,f,f,,
1052,Glitter Trans-Orange,F08F1C,t,f,f,,
1053,Trans-Blue Opal,68BCC5,t,f,f,,
1054,Trans-Medium Reddish Violet Opal,CE1D9B,t,f,f,,
1055,Trans-Clear Opal,FCFCFC,t,f,f,,
1056,Trans-Brown Opal,583927,t,f,f,,
1057,Trans-Light Bright Green,C9E788,t,f,f,,
1058,Trans-Light Green,94E5AB,t,f,f,,
1059,Trans-Purple Opal,8320B7,t,f,f,,
1060,Trans-Green Opal,84B68D,t,f,f,,
1061,Trans-Dark Blue Opal,0020A0,t,f,f,,
9999,Light Nougat,FFC995,f,t,t,,
9998,Medium Nougat,AA7D55,f,t,t,,
9997,Trans-Light Orange,FCB76D,t,t,f,,
